"show_id","title","director_id","release_year","duration"
"s542","""Truckbhar Swapna""","d560",2018,"128 min"
"s543","""Ujala""","d3673",1959,"143 min"
"s551","""Fear Street Part 1: 1994""","d3344",2021,"107 min"
"s552","""Haseen Dillruba""","d4071",2021,"136 min"
"s553","""Holiday on Mars""","d1471",2020,"94 min"
"s555","""RattleSnake - The Ahanna Story""","d581",2020,"136 min"
"s556","""Snowpiercer""","d2295",2013,"126 min"
"s557","""The 8th Night""","d3148",2021,"116 min"
"s558","""Winchester""","d4250",2018,"100 min"
"s559","""6 Bullets""","d1680",2012,"115 min"
"s560","""Air Force One""","d3507",1997,"125 min"
"s561","""Audible""","d2745",2021,"39 min"
"s562","""Austin Powers in Goldmember""","d3357",2002,"94 min"
"s563","""Austin Powers: International Man of Mystery""","d4046",1997,"90 min"
"s564","""Austin Powers: The Spy Who Shagged Me""","d1244",1999,"95 min"
"s565","""Boogie Nights""","d3119",1997,"155 min"
"s567","""Charlie's Angels""","d2142",2000,"98 min"
"s568","""Congo""","d3060",1995,"108 min"
"s569","""Dennis the Menace""","d2960",1993,"96 min"
"s570","""Dreamy Eyes""","d2266",2019,"117 min"
"s571","""Dynasty Warriors""","d2480",2021,"118 min"
"s573","""Hampstead""","d1636",2019,"103 min"
"s574","""Kung Fu Panda""","d1758",2008,"94 min"
"s575","""Kung Fu Panda 2""","d4453",2011,"93 min"
"s576","""Life as We Know It""","d2071",2010,"115 min"
"s577","""Mary Magdalene""","d2850",2019,"120 min"
"s579","""Memoirs of a Geisha""","d3252",2005,"145 min"
"s580","""Midnight Run""","d3731",1988,"126 min"
"s581","""Mobile Suit Gundam Hathaway""","d2490",2021,"96 min"
"s582","""Mortal Kombat""","d1632",1995,"101 min"
"s583","""Mother's Day""","d2817",2016,"118 min"
"s584","""No Strings Attached""","d1016",2011,"109 min"
"s585","""Not Another Teen Movie""","d1349",2001,"89 min"
"s586","""Ophelia""","d3088",2018,"106 min"
"s587","""Pet Sematary 2""","d2840",1992,"101 min"
"s590","""Red Joan""","d336",2019,"101 min"
"s592","""Seven Pounds""","d896",2008,"123 min"
"s593","""She's Out of My League""","d3547",2010,"106 min"
"s594","""Snow Day""","d852",2000,"89 min"
"s595","""Star Trek""","d1688",2009,"128 min"
"s596","""Stuart Little""","d1932",1999,"85 min"
"s597","""Sword of Trust""","d3747",2019,"89 min"
"s598","""Talladega Nights: The Ballad of Ricky Bobby""","d2428",2006,"108 min"
"s599","""The American""","d1569",2010,"105 min"
"s600","""The Best of Enemies""","d4001",2019,"133 min"
"s601","""The Game""","d2739",1997,"129 min"
"s602","""The Karate Kid""","d3499",1984,"127 min"
"s603","""The Karate Kid Part II""","d3914",1986,"113 min"
"s604","""The Karate Kid Part III""","d1067",1989,"112 min"
"s605","""The Life of David Gale""","d4381",2003,"130 min"
"s606","""The Long Riders""","d2445",1980,"100 min"
"s607","""The Queen""","d4108",2006,"103 min"
"s608","""The Strangers""","d3374",2008,"85 min"
"s609","""The Sum of All Fears""","d3970",2002,"124 min"
"s610","""The Tourist""","d2547",2010,"103 min"
"s611","""Underworld""","d754",2003,"121 min"
"s612","""Underworld: Awakening""","d2083",2012,"89 min"
"s613","""Underworld: Rise of the Lycans""","d2775",2009,"92 min"
"s614","""Voiceless""","d2897",2020,"112 min"
"s615","""What Dreams May Come""","d4186",1998,"114 min"
"s616","""Why Do Fools Fall in Love""","d776",1998,"116 min"
"s617","""Working Title""","d1626",2019,"110 min"
"s619","""America: The Motion Picture""","d3070",2021,"98 min"
"s620","""Deranged""","d418",2020,"98 min"
"s623","""Lying and Stealing""","d115",2019,"100 min"
"s624","""Mommy Issues""","d617",2021,"90 min"
"s625","""Prime Time""","d3975",2021,"92 min"
"s630","""A Way Back Home""","d3268",2020,"82 min"
"s631","""Killing Them Softly""","d826",2012,"97 min"
"s633","""Wanted""","d1517",2019,"90 min"
"s634","""Into the Wind""","d3147",2018,"76 min"
"s635","""Wonder Boy""","d413",2019,"83 min"
"s636","""Here Comes the Rain""","d729",2010,"101 min"
"s637","""The Ice Road""","d3349",2021,"109 min"
